[2019/01/19][16:02:26:355][WARNING]	: Sensor 3 stuck at time 32.6231 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 4 stuck at time 32.6231 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 5 stuck at time 32.6231 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensors supplied duplicate data at time 32.6231 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 0 stuck at time 32.6264 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 1 stuck at time 32.6264 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 2 stuck at time 32.6264 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 3 stuck at time 32.6264 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 4 stuck at time 32.6264 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 5 stuck at time 32.6264 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensors supplied duplicate data at time 32.6264 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 0 stuck at time 32.6298 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 1 stuck at time 32.6298 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 2 stuck at time 32.6298 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 3 stuck at time 32.6298 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 4 stuck at time 32.6298 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 5 stuck at time 32.6298 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensors supplied duplicate data at time 32.6298 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 0 stuck at time 32.6331 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 1 stuck at time 32.6331 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 2 stuck at time 32.6331 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 3 stuck at time 32.6331 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 4 stuck at time 32.6331 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 5 stuck at time 32.6331 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensors supplied duplicate data at time 32.6331 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 0 stuck at time 32.6364 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 1 stuck at time 32.6364 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 2 stuck at time 32.6364 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 3 stuck at time 32.6364 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 4 stuck at time 32.6364 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensor 5 stuck at time 32.6364 (classHeadset)
[2019/01/19][16:02:26:355][WARNING]	: Sensors supplied duplicate data at time 32.6364 (classHeadset)
[2019/01/19][16:02:26:356][WARNING]	: Sensor 0 stuck at time 32.6398 (classHeadset)
[2019/01/19][16:02:26:356][WARNING]	: Sensor 1 stuck at time 32.6398 (classHeadset)
[2019/01/19][16:02:26:356][WARNING]	: Sensor 2 stuck at time 32.6398 (classHeadset)
